Node Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
1578, 1.66903496e+00, 2.93272797e+02, 8.92498270e-02, 3.63332368e-02, -8.08744282e-02, 1.02348840e-02, 1.27483141e+00, 1.50000000e+00, 2.57949114e+00
1579, 1.66917336e+00, 2.93272461e+02, 9.23150554e-02, 4.07197289e-02, -8.20201561e-02, 1.16905216e-02, 1.28411734e+00, 1.50000000e+00, 2.57836080e+00
1580, 1.67150545e+00, 2.93294067e+02, 1.11612454e-01, -1.02735087e-01, -9.00564156e-03, -4.26818430e-02, 7.36505330e-01, 1.50000000e+00, 2.58482838e+00
1581, 1.67068124e+00, 2.93288239e+02, 2.21915618e-01, -2.19580799e-01, 1.83339622e-02, -2.63567958e-02, 8.85629296e-01, 1.50000000e+00, 2.74884343e+00
1582, 1.66871107e+00, 2.93281677e+02, 1.71044558e-01, -1.69890255e-01, -1.90942902e-02, -5.38071897e-03, 1.16063452e+00, 1.50000000e+00, 2.76912069e+00
1583, 1.66968322e+00, 2.93280518e+02, 1.69628844e-01, -1.68619350e-01, -1.82332564e-02, 3.00172763e-03, 1.21191120e+00, 1.50000000e+00, 2.78936553e+00
1584, 1.67166710e+00, 2.93279816e+02, 1.68610752e-01, -1.67581484e-01, -1.81492083e-02, 4.07918356e-03, 1.27022767e+00, 1.50000000e+00, 2.79622889e+00
1585, 1.68507838e+00, 2.93273560e+02, 1.23482488e-01, -1.20860763e-01, -2.25534793e-02, 1.14865545e-02, 1.72744739e+00, 1.50000000e+00, 2.79736710e+00
1586, 1.68251956e+00, 2.93277893e+02, 1.61596119e-01, -1.60963878e-01, -1.23432074e-02, 7.18211522e-03, 1.65106630e+00, 1.50000000e+00, 2.82939911e+00
1587, 1.68571734e+00, 2.93278687e+02, 1.82819873e-01, -1.82684183e-01, -2.07664724e-03, 6.72899233e-03, 1.71815717e+00, 1.50000000e+00, 2.84029722e+00
1588, 1.68433309e+00, 2.93253418e+02, 1.51949421e-01, -1.51901409e-01, -1.50709692e-03, 3.50953196e-03, 1.67631650e+00, 1.50000000e+00, 2.87289476e+00
1589, 1.69360137e+00, 2.93267426e+02, 6.12028651e-02, -3.76488566e-02, -4.59760763e-02, 1.46476831e-02, 1.99877799e+00, 1.50000000e+00, 2.77451706e+00
1590, 1.69549537e+00, 2.93281738e+02, 1.85972944e-01, -1.84924275e-01, 1.84822083e-02, 6.88144192e-03, 1.96250439e+00, 1.50000000e+00, 2.85909557e+00
1591, 1.69757032e+00, 2.93280273e+02, 1.46092966e-01, -1.45340681e-01, 6.78140204e-03, 1.31625589e-02, 2.03859901e+00, 1.50000000e+00, 2.84637976e+00
1592, 1.69788885e+00, 2.93265289e+02, 5.77718839e-02, -2.50603259e-02, -4.68175970e-02, 2.27526538e-02, 2.08326602e+00, 1.50000000e+00, 2.77572346e+00
1593, 1.69282794e+00, 2.93276428e+02, 1.69896185e-01, -1.69854999e-01, 2.39541009e-03, 2.87267962e-03, 1.87682557e+00, 1.50000000e+00, 2.84622002e+00
1594, 1.69130516e+00, 2.93260529e+02, 7.30739906e-02, 5.61237708e-03, -7.15870559e-02, 1.35499965e-02, 1.94655120e+00, 1.50000000e+00, 2.74670267e+00
1595, 1.68800747e+00, 2.93278992e+02, 1.93916291e-01, -1.93709463e-01, 7.42956996e-03, 4.99753375e-03, 1.76078629e+00, 1.50000000e+00, 2.84838057e+00
1596, 1.69187522e+00, 2.93230743e+02, 1.30454525e-01, -1.28694162e-01, 2.09389087e-02, 4.21359809e-03, 1.83177495e+00, 1.50000000e+00, 2.91718483e+00
1597, 1.69449186e+00, 2.93232330e+02, 1.32981390e-01, -1.31186932e-01, 2.13444885e-02, 4.29521408e-03, 1.89957571e+00, 1.50000000e+00, 2.91558075e+00
1598, 1.69189954e+00, 2.93257629e+02, 9.05559584e-02, 3.51470746e-02, -8.20124745e-02, 1.54602481e-02, 1.97864723e+00, 1.50000000e+00, 2.73027182e+00
1599, 1.68624318e+00, 2.93264465e+02, 6.68853000e-02, -8.70023295e-03, -6.40194863e-02, 1.73047688e-02, 1.80076814e+00, 1.50000000e+00, 2.73310494e+00
1600, 1.69348121e+00, 2.93257263e+02, 9.36309472e-02, 4.07414325e-02, -8.24403167e-02, 1.76205486e-02, 2.00875330e+00, 1.50000000e+00, 2.72544146e+00
1601, 1.69890952e+00, 2.93255890e+02, 9.53553542e-02, 4.63108569e-02, -7.87009746e-02, 2.74609737e-02, 2.11409950e+00, 1.50000000e+00, 2.73342705e+00
1602, 1.67829645e+00, 2.93276306e+02, 1.44606769e-01, -1.42926276e-01, -2.01352723e-02, 8.81859101e-03, 1.55320227e+00, 1.50000000e+00, 2.82300329e+00
